Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m),Thrust (N)
3.1859999999998707,3.8553361260652355,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.8233871591597,0.6672679021402736,886.3171588886997,1.010300044375062,2.1777681795498998,1208,0.075,0.67,2275.6264594123095
3.1879999999998705,3.8532221338995463,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.8233871591597,0.6671190034981682,886.3171588886997,1.0086605406725113,2.1774425897288667,1208,0.075,0.67,2275.6264594123095
3.1899999999998703,3.8511076411408767,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.77493469933573,0.667335848643759,886.4084979638073,1.0066548343511565,2.177116958145961,1208,0.075,0.67,2275.6264594123095
3.19199999999987,3.848996438189859,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.77493469933573,0.6671864377037917,886.4084979638073,1.0050183993508657,2.1767916011352018,1208,0.075,0.67,2275.6264594123095
3.19399999999987,3.846884733235356,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.72650860314874,0.6674028253604376,886.4998133630855,1.0030157056574938,2.1764662022174246,1208,0.075,0.67,2275.6264594123095
3.1959999999998696,3.844776325955547,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.72650860314874,0.6672529026443479,886.4998133630855,1.0013823446021288,2.1761410787090703,1208,0.075,0.67,2275.6264594123095
3.1979999999998694,3.842667415253654,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.67810884904453,0.6674688326631069,886.5911051064896,0.9993826694429422,2.175815913147605,1208,0.075,0.67,2275.6264594123095
3.199999999999869,3.8405535952635326,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.67810884904453,0.6673193094551308,886.5911051064896,0.997743948091359,2.1754903377170427,1208,0.075,0.67,2263.33116220327
3.201999999999869,3.838416381756501,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.67810884904453,0.6675382309478709,886.5911051064896,0.9957153351670983,2.175162815641532,1208,0.075,0.67,2263.33116220327
3.2039999999998687,3.8362826995427373,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.62973541549933,0.6677567607197278,886.6823732139507,0.9936903520830896,2.1748355867399196,1208,0.075,0.67,2263.33116220327
3.2059999999998685,3.8341516263843216,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.62973541549933,0.6676087973144073,886.6823732139507,0.992034254467621,2.174508574602293,1208,0.075,0.67,2263.33116220327
3.2079999999998683,3.832020156726938,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.58138828101637,0.6678269327915815,886.7736177053672,0.9900116944161613,2.1741815295191955,1208,0.075,0.67,2263.33116220327
3.209999999999868,3.8298919003279046,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.58138828101637,0.6676784525256971,886.7736177053672,0.9883586962486182,2.1738547515535895,1208,0.075,0.67,2263.33116220327
3.211999999999868,3.827763155328421,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.53306742413199,0.667896137459006,886.8648386006146,0.9863390849068925,2.1735279329625223,1208,0.075,0.67,2263.33116220327
3.2139999999998676,3.8256376449116196,3021178.3099253713,0.026000000000000002,1.2698,0.97,114951.15808867935,4,95.53306742413199,0.6677471494057616,886.8648386006146,0.9846891120726664,2.1732013834331916,1208,0.075,0.67,2263.33116220327
